median_stud-stud,median_stud-stud_value,min_stud-prof,min_stud-prof_value,max_overall,max_overall_value
median,20.00,min,10.00,max,43.00
median,15.50,min,0.00,max,60.00
median,50.00,min,0.00,max,90.00
median,26.00,min,0.00,max,80.00
median,95.00,min,0.00,max,100.00
median,54.50,min,10.00,max,86.00
median,26.00,min,0.00,max,86.00
median,31.50,min,0.00,max,86.00
median,22.50,min,0.00,max,86.00
median,17.50,min,0.00,max,86.00
median,15.50,min,0.00,max,86.00
median,23.50,min,0.00,max,90.00
median,36.50,min,0.00,max,75.00
median,22.50,min,0.00,max,60.00
median,30.00,min,0.00,max,75.00
median,20.00,min,0.00,max,80.00
median,15.00,min,0.00,max,80.00
median,40.00,min,0.00,max,80.00
median,22.50,min,5.00,max,80.00
median,30.00,min,5.00,max,80.00
median,30.00,min,5.00,max,75.00
median,34.50,min,5.00,max,75.00
median,32.00,min,5.00,max,70.00
median,37.00,min,5.00,max,70.00
median,22.50,min,0.00,max,65.00
median,35.00,min,0.00,max,65.00
median,43.50,min,0.00,max,65.00
median,36.50,min,0.00,max,65.00
median,63.50,min,15.00,max,90.00
median,20.00,min,0.00,max,50.00
median,15.00,min,0.00,max,50.00
median,25.00,min,0.00,max,50.00
median,22.50,min,3.00,max,50.00
median,27.50,min,0.00,max,50.00
median,27.50,min,0.00,max,50.00
median,20.00,min,3.00,max,50.00
median,23.50,min,3.00,max,50.00
median,20.00,min,0.00,max,67.00
median,20.00,min,5.00,max,60.00
median,20.00,min,5.00,max,50.00
median,20.00,min,5.00,max,80.00
median,20.00,min,5.00,max,80.00
median,20.00,min,5.00,max,40.00
median,20.00,min,5.00,max,40.00
median,20.00,min,5.00,max,40.00
median,19.50,min,2.00,max,30.00
median,13.50,min,0.00,max,35.00
median,20.00,min,0.00,max,80.00
median,16.50,min,0.00,max,70.00
median,30.00,min,5.00,max,70.00
median,15.00,min,0.00,max,50.00
median,10.00,min,0.00,max,50.00
median,7.50,min,0.00,max,50.00
median,6.50,min,0.00,max,50.00
median,6.50,min,0.00,max,50.00
median,6.00,min,0.00,max,50.00
median,8.50,min,0.00,max,50.00
median,6.00,min,0.00,max,50.00
median,11.00,min,0.00,max,50.00
median,20.00,min,0.00,max,70.00
median,30.00,min,10.00,max,80.00
median,30.00,min,0.00,max,80.00
median,30.00,min,9.00,max,80.00
median,10.00,min,0.00,max,80.00
median,10.00,min,0.00,max,80.00
median,10.00,min,0.00,max,80.00
median,52.50,min,0.00,max,99.00
median,50.00,min,0.00,max,99.00
median,45.00,min,0.00,max,99.00
median,55.00,min,20.00,max,100.00
median,60.00,min,10.00,max,100.00
median,55.00,min,10.00,max,100.00
median,34.00,min,0.00,max,60.00
median,35.00,min,10.00,max,90.00
median,35.00,min,10.00,max,90.00
